,Año,Trimestre,Provincia,Accesos por cada 100 hogares
497,2017,1,San Juan,27.04
498,2017,1,San Luis,9.55
499,2017,1,Santa Cruz,26.52
500,2017,1,Santa Fe,51.97
501,2017,1,Santiago Del Estero,14.7
502,2017,1,Tierra Del Fuego,68.92
503,2017,1,Tucumán,37.9
504,2016,4,Buenos Aires,61.24
505,2016,4,Capital Federal,120.63
506,2016,4,Catamarca,26.54
507,2016,4,Chaco,28.79
508,2016,4,Chubut,36.07
509,2016,4,Córdoba,57.7
510,2016,4,Corrientes,30.98
511,2016,4,Entre Ríos,45.21
512,2016,4,Formosa,19.85
513,2016,4,Jujuy,22.65
514,2016,4,La Pampa,63.02
515,2016,4,La Rioja,16.46
516,2016,4,Mendoza,32.11
517,2016,4,Misiones,29.72
518,2016,4,Neuquén,60.87
519,2016,4,Río Negro,46.39
520,2016,4,Salta,32.69
521,2016,4,San Juan,27.29
522,2016,4,San Luis,9.64
523,2016,4,Santa Cruz,27.05
524,2016,4,Santa Fe,52.19
525,2016,4,Santiago Del Estero,15.07
526,2016,4,Tierra Del Fuego,70.31
527,2016,4,Tucumán,37.98
528,2016,3,Buenos Aires,60.14
529,2016,3,Capital Federal,120.77
530,2016,3,Catamarca,26.48
531,2016,3,Chaco,28.91
532,2016,3,Chubut,36.18
533,2016,3,Córdoba,58.24
534,2016,3,Corrientes,31.07
535,2016,3,Entre Ríos,45.44
536,2016,3,Formosa,18.64
537,2016,3,Jujuy,22.61
538,2016,3,La Pampa,61.73
539,2016,3,La Rioja,17.07
540,2016,3,Mendoza,32.09
541,2016,3,Misiones,29.91
542,2016,3,Neuquén,60.21
543,2016,3,Río Negro,46.39
544,2016,3,Salta,32.96
545,2016,3,San Juan,27.32
546,2016,3,San Luis,9.63
547,2016,3,Santa Cruz,26.84
548,2016,3,Santa Fe,52.67
549,2016,3,Santiago Del Estero,15.33
550,2016,3,Tierra Del Fuego,68.94
551,2016,3,Tucumán,37.9
552,2016,2,Buenos Aires,59.34
553,2016,2,Capital Federal,120.04
554,2016,2,Catamarca,26.07
555,2016,2,Chaco,28.59
556,2016,2,Chubut,36.12
557,2016,2,Córdoba,57.55
558,2016,2,Corrientes,30.58
559,2016,2,Entre Ríos,44.74
560,2016,2,Formosa,19.37
561,2016,2,Jujuy,21.89
562,2016,2,La Pampa,60.44
563,2016,2,La Rioja,16.88
564,2016,2,Mendoza,32.13
565,2016,2,Misiones,29.24
566,2016,2,Neuquén,59.1
567,2016,2,Río Negro,46.24
568,2016,2,Salta,32.08
569,2016,2,San Juan,27.34
570,2016,2,San Luis,9.6
571,2016,2,Santa Cruz,26.73
572,2016,2,Santa Fe,52.44
573,2016,2,Santiago Del Estero,15.89
574,2016,2,Tierra Del Fuego,67.72
575,2016,2,Tucumán,37.24
576,2016,1,Buenos Aires,57.34
577,2016,1,Capital Federal,115.16
578,2016,1,Catamarca,25.91
579,2016,1,Chaco,28.08
580,2016,1,Chubut,36.09
581,2016,1,Córdoba,55.28
582,2016,1,Corrientes,30.08
583,2016,1,Entre Ríos,43.85
584,2016,1,Formosa,19.04
585,2016,1,Jujuy,21.41
586,2016,1,La Pampa,57.84
587,2016,1,La Rioja,16.83
588,2016,1,Mendoza,32.12
589,2016,1,Misiones,28.37
590,2016,1,Neuquén,55.75
591,2016,1,Río Negro,45.84
592,2016,1,Salta,31.32
593,2016,1,San Juan,27.33
594,2016,1,San Luis,9.59
595,2016,1,Santa Cruz,26.87
596,2016,1,Santa Fe,51.28
597,2016,1,Santiago Del Estero,16.21
598,2016,1,Tierra Del Fuego,65.83
599,2016,1,Tucumán,36.72
600,2015,4,Buenos Aires,58.29
601,2015,4,Capital Federal,118.13
602,2015,4,Catamarca,26.24
603,2015,4,Chaco,28.35
604,2015,4,Chubut,36.89
605,2015,4,Córdoba,57.36
606,2015,4,Corrientes,30.34
607,2015,4,Entre Ríos,44.11
608,2015,4,Formosa,19.07
609,2015,4,Jujuy,21.47
610,2015,4,La Pampa,58.76
611,2015,4,La Rioja,17.32
612,2015,4,Mendoza,32.49
613,2015,4,Misiones,28.69
614,2015,4,Neuquén,58.29
615,2015,4,Río Negro,46.44
616,2015,4,Salta,31.59
617,2015,4,San Juan,27.66
618,2015,4,San Luis,9.71
619,2015,4,Santa Cruz,27.74
620,2015,4,Santa Fe,52.61
621,2015,4,Santiago Del Estero,17.0
